Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SRET,Global X SuperDividend REIT ETF,14.66,$2.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sret
YLCO,Global X Yieldco Index ETF,10.9767,$2.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ylco
GLBS,Globus Maritime Limited,7.24,$19.02M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/glbs
GLUU,Glu Mobile Inc.,2.15,$286.95M,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/gluu
GLYC,"GlycoMimetics, Inc.",6.13,$141.39M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/glyc
GOGO,Gogo Inc.,9.54,$822.73M,2013,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gogo
GLNG,Golar LNG Limited,25.55,$2.58B,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/glng
GMLP,Golar LNG Partners LP,22.47,$1.4B,2011,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/gmlp
GDEN,"Golden Entertainment, Inc.",11.75,$261.2M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/gden
GOGL,Golden Ocean Group Limited,5.01,$530.89M,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/gogl
GBDC,"Golub Capital BDC, Inc.",18.55,$1.02B,2010,n/a,n/a,http://www.nasdaq.com/symbol/gbdc
GTIM,Good Times Restaurants Inc.,3.35,$41.2M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/gtim
GPRO,"GoPro, Inc.",9.27,$1.3B,2014,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gpro
GMAN,"Gordmans Stores, Inc.",0.785,$15.48M,2010,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/gman
GSHT,"Gores Holdings II, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gsht
GSHTU,"Gores Holdings II, Inc.",10.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gshtu
GOV,Government Properties Income Trust,19.93,$1.42B,2009,Finance,Real Estate,http://www.nasdaq.com/symbol/gov
GOVNI,Government Properties Income Trust,24.25,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/govni
GPIA,GP Investments Acquisition Corp.,9.93,$214.12M,2015,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/gpia
GPIAU,GP Investments Acquisition Corp.,10.4,n/a,2015,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/gpiau
GPIAW,GP Investments Acquisition Corp.,0.52,n/a,2015,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/gpiaw
LOPE,"Grand Canyon Education, Inc.",58.95,$2.79B,2008,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lope
GRVY,"GRAVITY Co., Ltd.",11.36,$39.47M,2005,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/grvy
FULLL,Great Elm Capital Corp.,25.589,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fulll
GECC,Great Elm Capital Corp.,11.51,$148.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gecc
GEC,"Great Elm Capital Group, Inc. ",3.65,$74.69M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gec
GLDD,Great Lakes Dredge & Dock Corporation,4.5,$274.23M,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/gldd
GSBC,"Great Southern Bancorp, Inc.",52.4,$729.81M,1989,Finance,Major Banks,http://www.nasdaq.com/symbol/gsbc
GNBC,"Green Bancorp, Inc.",14.55,$536.33M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/gnbc
GRBK,"Green Brick Partners, Inc.",9.95,$487.5M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/grbk
GPP,Green Plains Partners LP,20.85,$663.04M,2015,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gpp
GPRE,"Green Plains, Inc.",23.8,$913.17M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gpre
GCBC,"Greene County Bancorp, Inc.",22.95,$194.91M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/gcbc
GLRE,"Greenlight Reinsurance, Ltd.",23.45,$876.24M,2007,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/glre
GSUM,Gridsum Holding Inc.,10.82,$310.86M,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsum
GRIF,"Griffin Industrial Realty, Inc.",31.05,$158.13M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/grif
GRFS,"Grifols, S.A.",16.89,$11.53B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/grfs
GRPN,"Groupon, Inc.",3.58,$2.05B,2011,Technology,Advertising,http://www.nasdaq.com/symbol/grpn
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,32.23,$1.58B,2006,Transportation,Aerospace,http://www.nasdaq.com/symbol/omab
GGAL,Grupo Financiero Galicia S.A.,31.55,$4.1B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ggal
GSIT,"GSI Technology, Inc.",6.13,$123.98M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/gsit
GSVC,GSV Capital Corp,5.37,$119.11M,2011,n/a,n/a,http://www.nasdaq.com/symbol/gsvc
GTXI,"GTx, Inc.",5.79,$9.22M,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gtxi
GTYH,"GTY Technology Holdings, Inc.",9.8,$540.96M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/gtyh
GTYHU,"GTY Technology Holdings, Inc.",10.4308,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/gtyhu
GTYHW,"GTY Technology Holdings, Inc.",0.82,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/gtyhw
GBNK,Guaranty Bancorp,24.45,$718.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gbnk
GFED,"Guaranty Federal Bancshares, Inc.",20.71,$91.79M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gfed
GUID,"Guidance Software, Inc.",7.42,$238.55M,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/guid
GIFI,"Gulf Island Fabrication, Inc.",13.15,$192.58M,1997,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gifi
GURE,"Gulf Resources, Inc.",2.23,$104.34M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gure
GPOR,Gulfport Energy Corporation,20.79,$3.3B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gpor
GWPH,GW Pharmaceuticals Plc,119.91,$3.02B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gwph
GWGH,"GWG Holdings, Inc",7.9722,$47.68M,2014,Finance,Life Insurance,http://www.nasdaq.com/symbol/gwgh
GYRO,"Gyrodyne , LLC",18.6596,$27.67M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/gyro
HEES,"H&E Equipment Services, Inc.",21.91,$779.07M,2006,n/a,n/a,http://www.nasdaq.com/symbol/hees
HLG,Hailiang Education Group Inc.,8.6,$221.02M,2015,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/hlg
HNRG,Hallador Energy Company,9.19,$268.97M,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/hnrg
HALL,"Hallmark Financial Services, Inc.",11.08,$206.22M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hall
HALO,"Halozyme Therapeutics, Inc.",11.39,$1.47B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/halo
HBK,"Hamilton Bancorp, Inc.",14.525,$49.58M,2012,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hbk
HBHC,Hancock Holding Company,44.25,$3.72B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbhc
HBHCL,Hancock Holding Company,25.09,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbhcl
HNH,Handy & Harman Ltd.,26.85,$328.66M,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/hnh
HAFC,Hanmi Financial Corporation,34.65,$1.12B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hafc
HQCL,"Hanwha Q CELLS Co., Ltd. ",8.45,$709.94M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/hqcl
HONE,"HarborOne Bancorp, Inc.",19.43,$624.11M,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/hone
HDNG,Hardinge Inc.,11.75,$151.52M,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hdng
HLIT,Harmonic Inc.,5.3,$415.24M,1995,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/hlit
HRMN,Harmony Merger Corp.,10.1985,$153.84M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/hrmn
HRMNU,Harmony Merger Corp.,10.82,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/hrmnu
HRMNW,Harmony Merger Corp.,0.7498,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/hrmnw
TINY,"Harris & Harris Group, Inc.",1.36,$42M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/tiny
HBIO,"Harvard Bioscience, Inc.",2.85,$97.97M,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/hbio
HCAP,Harvest Capital Credit Corporation,13.84,$86.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hcap
HCAPL,Harvest Capital Credit Corporation,25.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hcapl
HAS,"Hasbro, Inc.",83.86,$10.46B,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/has
HA,"Hawaiian Holdings, Inc.",57.55,$3.07B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/ha
HCOM,"Hawaiian Telcom Holdco, Inc.",25.55,$294.16M,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/hcom
HWKN,"Hawkins, Inc.",53.95,$572.55M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/hwkn
HWBK,"Hawthorn Bancshares, Inc.",19.7,$110.8M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hwbk
HAYN,"Haynes International, Inc.",42.17,$526.75M,2007,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/hayn
HDS,"HD Supply Holdings, Inc.",41.87,$8.43B,2013,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/hds
HIIQ,"Health Insurance Innovations, Inc.",19.9,$293.56M,2013,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/hiiq
HCSG,"Healthcare Services Group, Inc.",39.96,$2.9B,1983,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hcsg
HQY,"HealthEquity, Inc.",47.83,$2.84B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/hqy
HSTM,"HealthStream, Inc.",24,$761.75M,2000,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/hstm
HTLD,"Heartland Express, Inc.",20.76,$1.73B,1986,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/htld
HTLF,"Heartland Financial USA, Inc.",47.15,$1.23B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/htlf
HTBX,"Heat Biologics, Inc.",0.902,$21.54M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/htbx
HEBT,"Hebron Technology Co., Ltd.",4.15,$70.55M,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/hebt
HSII,"Heidrick & Struggles International, Inc.",23.2,$431.12M,1999,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/hsii
HELE,Helen of Troy Limited,92.15,$2.49B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/hele
HMNY,Helios and Matheson Analytics Inc,3.4,$16.57M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/hmny
HMTV,"Hemisphere Media Group, Inc.",11.7,$496.18M,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/hmtv
HNNA,"Hennessy Advisors, Inc.",30.42,$155.92M,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/hnna
HCAC,Hennessy Capital Acquisition Corp. II,10.16,$253.49M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/hcac
HCACU,Hennessy Capital Acquisition Corp. II,11.01,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/hcacu
HCACW,Hennessy Capital Acquisition Corp. II,0.83,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/hcacw
HSIC,"Henry Schein, Inc.",159.05,$12.8B,1995,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hsic
HTBK,Heritage Commerce Corp,14.42,$546.9M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/htbk
HFWA,Heritage Financial Corporation,26.4,$790.6M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/hfwa
HEOP,Heritage Oaks Bancorp,12.87,$440.89M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/heop
HCCI,"Heritage-Crystal Clean, Inc.",14.9,$333.92M,2008,Basic Industries,Miscellaneous,http://www.nasdaq.com/symbol/hcci
MLHR,"Herman Miller, Inc.",31.75,$1.91B,n/a,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/mlhr
HRTX,"Heron Therapeutics, Inc.  ",12.9,$505.52M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/hrtx
HSKA,Heska Corporation,77.09,$531.77M,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/hska
HIBB,"Hibbett Sports, Inc.",34,$746.71M,1996,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/hibb
SNLN,Highland/iBoxx Senior Loan ETF,18.69,$330.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/snln
HPJ,Highpower International Inc,2.3,$34.75M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hpj
HIHO,Highway Holdings Limited,3.5,$13.31M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/hiho
HIMX,"Himax Technologies, Inc.",5.77,$992.46M,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/himx
HIFS,Hingham Institution for Savings,188.25,$400.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hifs
HSGX,Histogenics Corporation,1.72,$27.4M,2014,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/hsgx
HMNF,"HMN Financial, Inc.",17.9,$80.35M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hmnf
HMSY,HMS Holdings Corp,18.58,$1.57B,1992,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/hmsy
HOLI,"Hollysys Automation Technologies, Ltd.",19.18,$1.15B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/holi
HOLX,"Hologic, Inc.",40.18,$11.18B,1990,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/holx
HBCP,"Home Bancorp, Inc.",35.78,$261.99M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/hbcp
HOMB,"Home BancShares, Inc.",27.32,$3.84B,2006,Finance,Major Banks,http://www.nasdaq.com/symbol/homb
HFBL,"Home Federal Bancorp, Inc. of Louisiana",27,$53.08M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hfbl
HMST,"HomeStreet, Inc.",29.1,$722.55M,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/hmst
HMTA,HomeTown Bankshares Corporation,9.335,$53.81M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hmta
HTBI,"HomeTrust Bancshares, Inc.",25,$469.19M,2012,Finance,Savings Institutions,http://www.nasdaq.com/symbol/htbi
HMU,HomeUnion Holdings Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hmu
CETC,Hongli Clean Energy Technologies Corp.,3.08,"$737,974.16 ",n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cetc
HOFT,Hooker Furniture Corporation,35,$404.7M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/hoft
HOPE,"Hope Bancorp, Inc.",21.74,$2.94B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hope
HFBC,"HopFed Bancorp, Inc.",13.58,$91.23M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hfbc
HBNC,Horizon Bancorp (IN),26.69,$591.77M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbnc
HZNP,Horizon Pharma plc,17.43,$2.81B,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/hznp
HRZN,Horizon Technology Finance Corporation,11.21,$129.52M,2010,n/a,n/a,http://www.nasdaq.com/symbol/hrzn
HDP,"Hortonworks, Inc.",9.31,$565.7M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/hdp
HPT,Hospitality Properties Trust,31.63,$5.2B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hpt
HPTRP,Hospitality Properties Trust,25.1,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hptrp
TWNK,"Hostess Brands, Inc.",13.76,$1.92B,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/twnk
TWNKW,"Hostess Brands, Inc.",2.04,n/a,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/twnkw
HMHC,Houghton Mifflin Harcourt Company,11.1,$1.37B,2013,Consumer Services,Books,http://www.nasdaq.com/symbol/hmhc
HWCC,Houston Wire & Cable Company,7.3,$119.58M,2006,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/hwcc
HOVNP,Hovnanian Enterprises Inc,7.6,$38M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/hovnp
HBMD,"Howard Bancorp, Inc.",15.5,$108.36M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbmd
HSNI,"HSN, Inc.",33.9,$1.77B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/hsni
HTGM,"HTG Molecular Diagnostics, Inc.",2.12,$14.98M,2015,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/htgm
HUBG,"Hub Group, Inc.",45.25,$1.53B,1996,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/hubg
HSON,"Hudson Global, Inc.",1.3,$41.87M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/hson
HDSN,"Hudson Technologies, Inc.",7.84,$325.09M,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/hdsn
HUNT,Hunter Maritime Acquisition Corp.,n/a,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/hunt
HUNTU,Hunter Maritime Acquisition Corp.,10.15,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/huntu
HUNTW,Hunter Maritime Acquisition Corp.,n/a,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/huntw
HBAN,Huntington Bancshares Incorporated,13.47,$14.61B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hban
HBANN,Huntington Bancshares Incorporated,24.91,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbann
HBANO,Huntington Bancshares Incorporated,26.1,$20.79B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbano
HBANP,Huntington Bancshares Incorporated,1393.49,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbanp
HURC,"Hurco Companies, Inc.",31.95,$210.01M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hurc
HURN,Huron Consulting Group Inc.,46,$999.3M,2004,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/hurn
HCM,Hutchison China MediTech Limited,13.81,$1.67B,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/hcm
HBP,"Huttig Building Products, Inc.",6.42,$163.49M,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/hbp
HVBC,"HV Bancorp, Inc.",13.99,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/hvbc
HYGS,Hydrogenics Corporation,4.825,$60.53M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hygs
IDSY,"I.D. Systems, Inc.",5.76,$79.22M,1999,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/idsy
IAC,IAC/InterActiveCorp,70.95,$5.63B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/iac
IKGH,Iao Kun Group Holding Company Limited,0.3356,$20.96M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/ikgh
IBKC,IBERIABANK Corporation,83.2,$3.72B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibkc
IBKCO,IBERIABANK Corporation,26.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibkco
IBKCP,IBERIABANK Corporation,26.305,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibkcp
ICAD,icad inc.,3.55,$56.97M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/icad
IEP,Icahn Enterprises L.P.,60.64,$8.59B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/iep
ICFI,"ICF International, Inc.",54.1,$1.03B,2006,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/icfi
ICHR,Ichor Holdings,14.18,$419.81M,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/ichr
ICLR,ICON plc,82.09,$4.55B,1998,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/iclr
ICON,"Iconix Brand Group, Inc.",10.45,$586.54M,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/icon
ICUI,"ICU Medical, Inc.",136.65,$2.23B,1992,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/icui
IPWR,Ideal Power Inc.,3.01,$28.77M,2013,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ipwr
INVE,"Identiv, Inc.",3.7,$41.02M,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/inve
IDRA,"Idera Pharmaceuticals, Inc.",1.58,$233.29M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/idra
IDXX,"IDEXX Laboratories, Inc.",120.8,$10.83B,1991,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/idxx
IESC,"IES Holdings, Inc.",18.95,$406.6M,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/iesc
IROQ,"IF Bancorp, Inc.",19.1,$75.45M,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/iroq
IRG,"Ignite Restaurant Group, Inc.",0.605,$15.9M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/irg
RXDX,"Ignyta, Inc.",5.2,$216.59M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rxdx
INFO,IHS Markit Ltd.,37.03,$15.62B,2014,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/info
IIVI,II-VI Incorporated,30.3,$1.89B,1987,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/iivi
KANG,"iKang Healthcare Group, Inc.",18.19,$1.25B,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/kang
IKNX,Ikonics Corporation,10.97,$22.15M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/iknx
ILG,"ILG, Inc",18.12,$2.42B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/ilg
ILMN,"Illumina, Inc.",162.57,$23.88B,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/ilmn
ISNS,"Image Sensing Systems, Inc.",3.6,$18.25M,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/isns
IMMR,Immersion Corporation,10.7,$308.53M,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/immr
ICCC,ImmuCell Corporation,6.05,$29.33M,1987,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/iccc
IMDZ,Immune Design Corp.,6.25,$158.81M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imdz
IMNP          ,Immune Pharmaceuticals Inc.,0.214,$28.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imnp
IMGN,"ImmunoGen, Inc.",2.43,$212.14M,1989,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imgn
IMMU,"Immunomedics, Inc.",4.04,$428.24M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/immu
IPXL,"Impax Laboratories, Inc.",12.85,$949.27M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ipxl
IMPV,"Imperva, Inc.",40.65,$1.33B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/impv
PI,"Impinj, Inc.",33.53,$680.91M,2016,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/pi
IMMY,"Imprimis Pharmaceuticals, Inc.",2.56,$33.93M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/immy
INCR,"INC Research Holdings, Inc.",51.45,$2.76B,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incr
INCY,Incyte Corporation,117.75,$22.18B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/incy
INDB,Independent Bank Corp.,68.7,$1.86B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/indb
IBCP,Independent Bank Corporation,21.4,$454.65M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibcp
IBTX,"Independent Bank Group, Inc",62.2,$1.17B,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/ibtx
IDSA,"Industrial Services of America, Inc.",2.15,$17.34M,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/idsa
INFN,Infinera Corporation,8.73,$1.26B,2007,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/infn
INFI,"Infinity Pharmaceuticals, Inc.",1.5,$74.59M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/infi
IPCC,Infinity Property and Casualty Corporation,86.95,$961.25M,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ipcc
III,"Information Services Group, Inc.",3.55,$149.06M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/iii
IFON,InfoSonics Corp,0.3662,$5.27M,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/ifon
